iteration,surrogate_phase_variance,physical_phase_variance
0,28.3192510821213,28.3192510821213
1,8.096728199277203,8.1165714914513
2,7.5361703668037325,7.554879944017786
3,7.044757560188928,7.061775720099354
4,6.89052722912081,6.906806698000746
5,6.829737112600119,6.845491940805409
6,6.814351465148769,6.8297210095111796
7,6.812960170594438,6.828150401707801
8,6.809676509570076,6.824332000865222
9,6.80958373224483,6.824209080042512
10,6.809532614790512,6.824139537292633
