K_fit,Nft_fit,Nft_fit_lo95,Nft_fit_hi95,b,b_lo95,b_hi95
15.000000000000004,101.543823199555,100.983527888934,102.11503301791502,2.0254186749146053,2.0217238122299515,2.029428455315145
15.143682788782627,103.52357002303062,102.95570120627968,104.10280481906169,2.0254186749146053,2.0217238122299515,2.029428455315145
15.28874189381808,105.54191493511047,104.96639038534889,106.12927059715753,2.0254186749146053,2.0217238122299515,2.029428455315145
15.435190498636848,107.59961046254489,107.01634762757946,108.19518356937314,2.0254186749146053,2.0217238122299515,2.029428455315145
15.583041913052528,109.69742380370506,109.10633982464316,110.30131161500907,2.0254186749146053,2.0217238122299515,2.029428455315145
15.732309574371452,111.83613711462748,111.23714884534022,112.44843756090846,2.0254186749146053,2.0217238122299515,2.029428455315145
15.883007048613944,114.01654780063606,113.40957182809792,114.6373594724264,2.0254186749146053,2.0217238122299515,2.029428455315145
16.035148031747205,116.23946881364901,115.62442147918064,116.86889095006208,2.0254186749146053,2.0217238122299515,2.029428455315145
16.188746350930113,118.50572895528333,117.8825263767248,119.14386143186704,2.0254186749146053,2.0217238122299515,2.029428455315145
16.343815965769856,120.81617318586758,120.18473128071084,121.46311650173836,2.0254186749146053,2.0217238122299515,2.029428455315145
16.50037096959065,123.17166293948033,122.5318974489891,123.82749175826794,2.0254186749146053,2.0217238122299515,2.029428455315145
16.658425590714558,125.57307644512927,124.92490295947694,126.23788282454413,2.0254186749146053,2.0217238122299515,2.029428455315145
16.81799419375467,128.0213090541945,127.36464303864994,128.6946426154202,2.0254186749146053,2.0217238122299515,2.029428455315145
16.97909128092059,130.51727357425358,129.85203039644642,131.19823502498554,2.0254186749146053,2.0217238122299515,2.029428455315145
17.141731493336415,133.06190060941586,132.38799556771338,133.75053167654568,2.0254186749146053,2.0217238122299515,2.029428455315145
17.305929612371447,135.65613890729264,134.97348726032138,136.3524800498915,2.0254186749146053,2.0217238122299515,2.029428455315145
17.471700560983535,138.30095571273134,137.60947271007717,139.00504605684225,2.0254186749146053,2.0217238122299515,2.029428455315145
17.639059405075344,140.99733712844633,140.29693804256763,141.71051523823115,2.0254186749146053,2.0217238122299515,2.029428455315145
17.808021354863584,143.7462884826808,143.03688864207066,144.46888473073577,2.0254186749146053,2.0217238122299515,2.029428455315145
17.978601766261406,146.5488347040372,145.8303495276711,147.28091213873952,2.0254186749146053,2.0217238122299515,2.029428455315145
18.150816142273978,149.4060207036149,148.6783657367213,150.1476415007714,2.0254186749146053,2.0217238122299515,2.029428455315145
18.324680134407494,152.31891176459897,151.58200271579156,153.07016992914015,2.0254186749146053,2.0217238122299515,2.029428455315145
18.500209544091575,155.28859393944293,154.5423467192539,156.04958351725287,2.0254186749146053,2.0217238122299515,2.029428455315145
18.677420324115438,158.31617445479768,157.56050521565254,159.0845627107928,2.0254186749146053,2.0217238122299515,2.029428455315145
18.856328580077715,161.40278212433307,160.63760730200875,162.17848525668532,2.0254186749146053,2.0217238122299515,2.029428455315145
19.036950571850195,164.54956776960896,163.77480412621756,165.3325793034044,2.0254186749146053,2.0217238122299515,2.029428455315145
19.219302715055555,167.75770464915078,166.97326931769325,168.54801197208806,2.0254186749146053,2.0217238122299515,2.029428455315145
19.40340158255933,171.0283888958925,170.23419942642647,171.82593692889782,2.0254186749146053,2.0217238122299515,2.029428455315145
19.58926390597609,174.3628399631465,173.55881437061475,175.17020997619704,2.0254186749146053,2.0217238122299515,2.029428455315145
