v_scale,K,mean_rank_norm,std_rank_norm,frob_distance_K20
0.0,10,0.9888888888888889,0.03333333333333335,0.0
0.0,20,0.9842105263157893,0.02411881944713603,0.0
0.0,40,0.9974358974358974,0.007692307692307699,0.0
0.0,60,0.9937853107344632,0.010247659405207367,0.0
0.0,80,0.9974683544303798,0.005063291139240487,0.0
0.5,10,0.9851851851851853,0.04743054990691,0.5459345266566975
0.5,20,0.9789473684210523,0.029146048641817822,0.5459345266566975
0.5,40,0.9880341880341881,0.012791991065893828,0.5459345266566975
0.5,60,0.9960451977401128,0.007168687875960162,0.5459345266566975
0.5,80,0.9974683544303797,0.00506329113924049,0.5459345266566975
2.0,10,0.9703703703703703,0.06372092790401945,2.5887099580105692
2.0,20,0.9157894736842104,0.06167858186402438,2.5887099580105692
2.0,40,0.9444444444444444,0.028153280499146314,2.5887099580105692
2.0,60,0.9627118644067797,0.018254795956388157,2.5887099580105692
2.0,80,0.9713080168776373,0.0108069607382833,2.5887099580105692
5.0,10,0.9259259259259259,0.08764562641629062,2.158916528189996
5.0,20,0.93859649122807,0.036167593207172444,2.158916528189996
5.0,40,0.9487179487179487,0.026481937409965225,2.158916528189996
5.0,60,0.9610169491525421,0.012493414908189825,2.158916528189996
5.0,80,0.9594936708860762,0.01282589380048158,2.158916528189996
10.0,10,0.9481481481481481,0.05543196128553989,1.5210195382224583
10.0,20,0.9456140350877191,0.04184863312939145,1.5210195382224583
10.0,40,0.9521367521367521,0.021689876137520523,1.5210195382224583
10.0,60,0.9525423728813559,0.017173654410814303,1.5210195382224583
10.0,80,0.9556962025316458,0.014524822344353169,1.5210195382224583
20.0,10,0.9518518518518518,0.06839327893562737,1.140643203577833
20.0,20,0.943859649122807,0.04061697158873762,1.140643203577833
20.0,40,0.9495726495726495,0.021435788382879385,1.140643203577833
20.0,60,0.9519774011299436,0.016996168312419586,1.140643203577833
20.0,80,0.9535864978902955,0.014737763035082693,1.140643203577833
