M_true,M_hat,distance_r_over_a
0.004821332336779728,0.004229874927834394,6.708203932499369
0.04060904347759915,0.04085200340536574,8.602325267042627
0.008134365615428628,0.008234872522715564,5.830951894845301
0.001963911884164961,0.0015472418830679102,8.54400374531753
0.0009565853881064782,0.0014109059255057337,14.7648230602334
0.0010119607075374903,0.0006395126992424858,17.204650534085253
0.002988177858702264,0.003459288242375148,10.04987562112089
0.04147585286064987,0.041771896259638105,2.23606797749979
0.0031955015246731065,0.0032461926544700716,13.45362404707371
0.0004939077362293429,-0.0002938126064516403,14.317821063276353
0.016100566762843632,0.01635041196587661,5.0
0.000750469021277129,0.0008517585636414126,15.652475842498529
0.004400041325948229,0.0037734081890978778,17.029386365926403
0.5838415886663461,0.5840713906879881,13.416407864998739
0.0015732659909033432,0.0020908429602668464,12.165525060596439
0.0015102844284731766,0.0011764282064299992,17.029386365926403
0.000549936997026743,0.0007582998484618588,14.560219778561036
0.0006790186199232674,0.0009871883617583363,13.601470508735444
0.003935808910990998,0.004569633388107065,8.06225774829855
0.014280760271009439,0.014259701471748702,14.560219778561036
0.27578099240182125,0.2760604351092053,1.0
0.007511275749538358,0.006987225183009687,12.165525060596439
0.009689624195489589,0.00941337598041779,9.055385138137417
0.0014865487920469943,0.0013036793022710629,8.06225774829855
0.001039642367387196,0.0010996545038268297,10.198039027185569
0.011259402125635707,0.010708575979657886,6.4031242374328485
0.03902692852431288,0.0390308144270049,10.816653826391969
0.0015842073518458088,0.001511290317656969,14.035668847618199
0.39031070141870394,0.3906145329679245,7.615773105863909
0.029294102736915288,0.029575772844453452,1.0
0.0004385078223857544,8.524866611072865e-05,12.041594578792296
0.01652172463211774,0.016608498550809925,1.4142135623730951
0.14767953897942054,0.14758513151102676,13.0
0.001459974811791322,0.0009470105684950958,19.79898987322333
0.003951999914846398,0.003343556526941119,12.041594578792296
0.0005401056448546824,-0.00022581805456704915,10.198039027185569
0.02987167145168738,0.030102045509365433,6.082762530298219
0.033740124711389895,0.03357134518277007,12.649110640673518
0.024949112946425104,0.025122947248536004,5.656854249492381
0.0027432721058487904,0.0018912595884532032,6.708203932499369
0.008020127608970943,0.00730284518890545,4.123105625617661
0.29560008094319407,0.2963244127250483,1.0
0.22237812897113102,0.22235687743412877,10.295630140987
0.0004518521741195285,0.001219964860035976,8.06225774829855
0.00028002796725656143,0.0007837494000714831,10.63014581273465
0.008932979102179824,0.00931706671687735,9.899494936611665
0.006258268004977129,0.005428072759609543,4.47213595499958
0.0007928125916127953,0.0016292570270457895,7.211102550927978
0.0003775223179692339,0.00036707548956298945,8.0
0.10667068826675992,0.10642670038786378,2.0
0.0003515689121251732,0.0006145469923437502,8.94427190999916
0.00034475789278936593,0.0001220404586857643,11.180339887498949
0.0010120407024537905,0.0008632370499019385,9.0
0.004243490676167232,0.004450499508672472,12.041594578792296
0.00030807325423862507,0.0001678289828373179,10.63014581273465
0.0003838060369513349,0.00037010999864753227,8.06225774829855
0.0005093494943957643,0.0012172324069809205,7.0710678118654755
0.01783061664620057,0.01787063378886239,1.4142135623730951
0.0008704791107777499,0.0005399152169673733,11.180339887498949
0.0042696562013559815,0.0038840761182413804,6.324555320336759
0.0020451898710564347,0.0023928460524896954,9.848857801796104
0.008985973917570243,0.009117995313413764,7.810249675906654
0.003131504651778684,0.004052051393885384,2.8284271247461903
0.0014363905069174087,0.0012876914668836312,4.123105625617661
0.284385367741154,0.2843360775560321,1.4142135623730951
0.0023771467653299068,0.002412258637937819,6.0
0.0017510589940515347,0.0022137493713800015,13.038404810405298
0.017491791234727338,0.017636026892213153,5.0
0.0023909707652023777,0.0026327105235475763,7.615773105863909
0.00044859587913352947,0.0016349966758421653,7.211102550927978
0.0020546026347613607,0.0027580037978283843,6.4031242374328485
0.0012121932836312264,0.0017159520864837312,9.055385138137417
0.0001902175041591735,0.00031661356062651416,13.601470508735444
0.0012909729704653665,0.0013266554710244828,5.830951894845301
0.000602598100092351,0.0007683041767418226,6.4031242374328485
0.25561336942664303,0.25572356111770794,5.830951894845301
0.0014464259975553418,0.0010013799984412968,9.219544457292887
0.8071267182098103,0.8068334421459326,2.23606797749979
0.00030462682720438117,-0.00027838004273412456,8.602325267042627
0.001690173672696704,0.0020017226261389003,4.123105625617661
0.001638817219104599,0.0010603834433777683,4.0
0.0004836901121088045,6.611847973991749e-05,8.06225774829855
0.001659711045894519,0.0016286391514642507,8.0
0.0025047417463075704,0.0024090898555365107,9.486832980505138
0.0009214064595014469,0.0005940327634338283,6.708203932499369
0.0005175047242120251,6.612864216667177e-05,6.708203932499369
0.009619041896168122,0.009211624472520687,5.385164807134504
0.0005568950085732343,-2.8653618705191475e-05,9.848857801796104
0.0014519896412051503,0.0015849103816807358,4.123105625617661
0.0012907956362643016,0.002280808307980038,9.0
0.035285986087081826,0.035096793527639954,8.48528137423857
0.023850751301369717,0.023928679667699997,5.0990195135927845
0.0006329444341087142,0.00048151288096424786,8.602325267042627
0.004603747546264871,0.0047759009809370465,8.94427190999916
0.0006840683287830214,0.0013811228694956053,9.486832980505138
0.0008170728472939887,0.000775267469980252,8.54400374531753
0.0026873097612034424,0.0029624078295906776,3.605551275463989
0.00371934338610978,0.0041576703513750805,7.0710678118654755
0.0003750183482136844,0.0002390052253168197,7.810249675906654
0.002444332498417606,0.002224915290244295,5.830951894845301
0.0021277812357185207,0.0023509096584081596,4.47213595499958
0.0006934801609213977,0.0007836442964108781,6.708203932499369
0.0007803450333931847,0.00047581445999601586,7.0710678118654755
0.002931306240109548,0.0031527507320482165,3.0
0.4784400469750737,0.4789729320725383,2.23606797749979
0.0007269303932087206,0.000946792829045808,9.219544457292887
0.007703689387451088,0.008382901059059186,2.0
0.0002634605494909227,0.00017000264917158307,9.219544457292887
0.0003076013649838307,-0.00010654975378388703,10.63014581273465
0.0002813802403652236,9.276571296797402e-05,8.94427190999916
0.011344034293317066,0.01174754851411516,5.0
0.007309003927055349,0.007721807646161628,11.40175425099138
0.01106304862695235,0.011541112841503979,4.123105625617661
0.0002848438842470354,0.0005995813048599064,10.295630140987
0.0016180655623652769,0.0011733752428814068,4.123105625617661
0.006285656956160152,0.006803594107407593,5.0990195135927845
0.002455716922128751,0.0025007459304958596,3.1622776601683795
0.0024352649322294606,0.0035527588591848505,5.830951894845301
0.02274158465399742,0.023226405147070417,1.0
0.005925823499642373,0.005430526889247927,4.0
